Nacional	Comunidades y Ciudades Autónomas	Covid-19	Sexo	Edad	Total
Total nacional	Canarias	Covid-19 Virus identificado	Hombres	De 85 a 89 años	47
Total nacional	Canarias	Covid-19 Virus identificado	Hombres	De 90 a 94 años	20
Total nacional	Canarias	Covid-19 Virus identificado	Hombres	95 y más años	6
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	Total	163
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	5
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	5
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	8
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	3
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	9
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	17
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	22
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	27
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	31
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	26
Total nacional	Canarias	Covid-19 Virus identificado	Mujeres	95 y más años	10
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	Total	98
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	3
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	4
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	12
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	4
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	12
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	23
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	19
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	13
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	4
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	53
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	3
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	9
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	5
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	11
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	7
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	7
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	3
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	45
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	1
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	..
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	..
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	1
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	3
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	2
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	7
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	12
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	12
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	6
Total nacional	Canarias	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	1
Total nacional	Canarias	Otras causas	Total	Total	16.224
Total nacional	Canarias	Otras causas	Total	De 0 a 49 años	857
Total nacional	Canarias	Otras causas	Total	De 50 a 54 años	485
Total nacional	Canarias	Otras causas	Total	De 55 a 59 años	849
Total nacional	Canarias	Otras causas	Total	De 60 a 64 años	1.007
Total nacional	Canarias	Otras causas	Total	De 65 a 69 años	1.284
Total nacional	Canarias	Otras causas	Total	De 70 a 74 años	1.553
Total nacional	Canarias	Otras causas	Total	De 75 a 79 años	1.955
Total nacional	Canarias	Otras causas	Total	De 80 a 84 años	2.373
Total nacional	Canarias	Otras causas	Total	De 85 a 89 años	3.019
Total nacional	Canarias	Otras causas	Total	De 90 a 94 años	1.965
Total nacional	Canarias	Otras causas	Total	95 y más años	877
Total nacional	Canarias	Otras causas	Hombres	Total	8.625
Total nacional	Canarias	Otras causas	Hombres	De 0 a 49 años	560
Total nacional	Canarias	Otras causas	Hombres	De 50 a 54 años	336
Total nacional	Canarias	Otras causas	Hombres	De 55 a 59 años	568
Total nacional	Canarias	Otras causas	Hombres	De 60 a 64 años	656
Total nacional	Canarias	Otras causas	Hombres	De 65 a 69 años	824
Total nacional	Canarias	Otras causas	Hombres	De 70 a 74 años	1.003
Total nacional	Canarias	Otras causas	Hombres	De 75 a 79 años	1.185
Total nacional	Canarias	Otras causas	Hombres	De 80 a 84 años	1.204
Total nacional	Canarias	Otras causas	Hombres	De 85 a 89 años	1.336
Total nacional	Canarias	Otras causas	Hombres	De 90 a 94 años	723
Total nacional	Canarias	Otras causas	Hombres	95 y más años	230
Total nacional	Canarias	Otras causas	Mujeres	Total	7.599
Total nacional	Canarias	Otras causas	Mujeres	De 0 a 49 años	297
Total nacional	Canarias	Otras causas	Mujeres	De 50 a 54 años	149
Total nacional	Canarias	Otras causas	Mujeres	De 55 a 59 años	281
Total nacional	Canarias	Otras causas	Mujeres	De 60 a 64 años	351
Total nacional	Canarias	Otras causas	Mujeres	De 65 a 69 años	460
Total nacional	Canarias	Otras causas	Mujeres	De 70 a 74 años	550
Total nacional	Canarias	Otras causas	Mujeres	De 75 a 79 años	770
Total nacional	Canarias	Otras causas	Mujeres	De 80 a 84 años	1.169
Total nacional	Canarias	Otras causas	Mujeres	De 85 a 89 años	1.683
Total nacional	Canarias	Otras causas	Mujeres	De 90 a 94 años	1.242
Total nacional	Canarias	Otras causas	Mujeres	95 y más años	647
Total nacional	Cantabria	Total	Total	Total	6.561
Total nacional	Cantabria	Total	Total	De 0 a 49 años	193
Total nacional	Cantabria	Total	Total	De 50 a 54 años	116
Total nacional	Cantabria	Total	Total	De 55 a 59 años	175
Total nacional	Cantabria	Total	Total	De 60 a 64 años	303
Total nacional	Cantabria	Total	Total	De 65 a 69 años	399
Total nacional	Cantabria	Total	Total	De 70 a 74 años	478
Total nacional	Cantabria	Total	Total	De 75 a 79 años	642
Total nacional	Cantabria	Total	Total	De 80 a 84 años	902
Total nacional	Cantabria	Total	Total	De 85 a 89 años	1.452
Total nacional	Cantabria	Total	Total	De 90 a 94 años	1.274
Total nacional	Cantabria	Total	Total	95 y más años	627
Total nacional	Cantabria	Total	Hombres	Total	3.241
Total nacional	Cantabria	Total	Hombres	De 0 a 49 años	111
Total nacional	Cantabria	Total	Hombres	De 50 a 54 años	81
Total nacional	Cantabria	Total	Hombres	De 55 a 59 años	111
Total nacional	Cantabria	Total	Hombres	De 60 a 64 años	212
Total nacional	Cantabria	Total	Hombres	De 65 a 69 años	260
Total nacional	Cantabria	Total	Hombres	De 70 a 74 años	337
Total nacional	Cantabria	Total	Hombres	De 75 a 79 años	420
Total nacional	Cantabria	Total	Hombres	De 80 a 84 años	494
Total nacional	Cantabria	Total	Hombres	De 85 a 89 años	644
Total nacional	Cantabria	Total	Hombres	De 90 a 94 años	441
Total nacional	Cantabria	Total	Hombres	95 y más años	130
Total nacional	Cantabria	Total	Mujeres	Total	3.320
Total nacional	Cantabria	Total	Mujeres	De 0 a 49 años	82
Total nacional	Cantabria	Total	Mujeres	De 50 a 54 años	35
Total nacional	Cantabria	Total	Mujeres	De 55 a 59 años	64
Total nacional	Cantabria	Total	Mujeres	De 60 a 64 años	91
Total nacional	Cantabria	Total	Mujeres	De 65 a 69 años	139
Total nacional	Cantabria	Total	Mujeres	De 70 a 74 años	141
Total nacional	Cantabria	Total	Mujeres	De 75 a 79 años	222
Total nacional	Cantabria	Total	Mujeres	De 80 a 84 años	408
Total nacional	Cantabria	Total	Mujeres	De 85 a 89 años	808
Total nacional	Cantabria	Total	Mujeres	De 90 a 94 años	833
Total nacional	Cantabria	Total	Mujeres	95 y más años	497
Total nacional	Cantabria	Covid-19 Virus identificado	Total	Total	427
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 0 a 49 años	3
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 50 a 54 años	3
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 55 a 59 años	3
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 60 a 64 años	14
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 65 a 69 años	13
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 70 a 74 años	34
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 75 a 79 años	42
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 80 a 84 años	60
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 85 a 89 años	122
Total nacional	Cantabria	Covid-19 Virus identificado	Total	De 90 a 94 años	92
Total nacional	Cantabria	Covid-19 Virus identificado	Total	95 y más años	41
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	Total	214
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 0 a 49 años	2
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 50 a 54 años	3
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 55 a 59 años	3
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 60 a 64 años	10
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 65 a 69 años	7
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 70 a 74 años	26
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 75 a 79 años	26
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 80 a 84 años	34
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 85 a 89 años	57
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	De 90 a 94 años	36
Total nacional	Cantabria	Covid-19 Virus identificado	Hombres	95 y más años	10
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	Total	213
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	1
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	..
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	..
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	4
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	6
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	8
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	16
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	26
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	65
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	56
Total nacional	Cantabria	Covid-19 Virus identificado	Mujeres	95 y más años	31
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	Total	68
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	3
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	4
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	2
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	8
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	12
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	19
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	12
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	6
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	38
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	3
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	3
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	5
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	10
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	7
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	5
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	2
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	30
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	..
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	1
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	3
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	2
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	12
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	7
Total nacional	Cantabria	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	4
Total nacional	Cantabria	Otras causas	Total	Total	6.066
Total nacional	Cantabria	Otras causas	Total	De 0 a 49 años	189
Total nacional	Cantabria	Otras causas	Total	De 50 a 54 años	113
Total nacional	Cantabria	Otras causas	Total	De 55 a 59 años	169
Total nacional	Cantabria	Otras causas	Total	De 60 a 64 años	288
Total nacional	Cantabria	Otras causas	Total	De 65 a 69 años	382
Total nacional	Cantabria	Otras causas	Total	De 70 a 74 años	442
Total nacional	Cantabria	Otras causas	Total	De 75 a 79 años	592
Total nacional	Cantabria	Otras causas	Total	De 80 a 84 años	830
Total nacional	Cantabria	Otras causas	Total	De 85 a 89 años	1.311
Total nacional	Cantabria	Otras causas	Total	De 90 a 94 años	1.170
Total nacional	Cantabria	Otras causas	Total	95 y más años	580
Total nacional	Cantabria	Otras causas	Hombres	Total	2.989
Total nacional	Cantabria	Otras causas	Hombres	De 0 a 49 años	108
Total nacional	Cantabria	Otras causas	Hombres	De 50 a 54 años	78
Total nacional	Cantabria	Otras causas	Hombres	De 55 a 59 años	105
Total nacional	Cantabria	Otras causas	Hombres	De 60 a 64 años	201
Total nacional	Cantabria	Otras causas	Hombres	De 65 a 69 años	250
Total nacional	Cantabria	Otras causas	Hombres	De 70 a 74 años	310
Total nacional	Cantabria	Otras causas	Hombres	De 75 a 79 años	389
Total nacional	Cantabria	Otras causas	Hombres	De 80 a 84 años	450
Total nacional	Cantabria	Otras causas	Hombres	De 85 a 89 años	580
Total nacional	Cantabria	Otras causas	Hombres	De 90 a 94 años	400
Total nacional	Cantabria	Otras causas	Hombres	95 y más años	118
Total nacional	Cantabria	Otras causas	Mujeres	Total	3.077
Total nacional	Cantabria	Otras causas	Mujeres	De 0 a 49 años	81
Total nacional	Cantabria	Otras causas	Mujeres	De 50 a 54 años	35
Total nacional	Cantabria	Otras causas	Mujeres	De 55 a 59 años	64
Total nacional	Cantabria	Otras causas	Mujeres	De 60 a 64 años	87
Total nacional	Cantabria	Otras causas	Mujeres	De 65 a 69 años	132
Total nacional	Cantabria	Otras causas	Mujeres	De 70 a 74 años	132
Total nacional	Cantabria	Otras causas	Mujeres	De 75 a 79 años	203
Total nacional	Cantabria	Otras causas	Mujeres	De 80 a 84 años	380
Total nacional	Cantabria	Otras causas	Mujeres	De 85 a 89 años	731
Total nacional	Cantabria	Otras causas	Mujeres	De 90 a 94 años	770
Total nacional	Cantabria	Otras causas	Mujeres	95 y más años	462
Total nacional	Castilla y León	Total	Total	Total	36.522
Total nacional	Castilla y León	Total	Total	De 0 a 49 años	696
Total nacional	Castilla y León	Total	Total	De 50 a 54 años	549
Total nacional	Castilla y León	Total	Total	De 55 a 59 años	865
Total nacional	Castilla y León	Total	Total	De 60 a 64 años	1.240
Total nacional	Castilla y León	Total	Total	De 65 a 69 años	1.658
Total nacional	Castilla y León	Total	Total	De 70 a 74 años	2.274
Total nacional	Castilla y León	Total	Total	De 75 a 79 años	3.203
Total nacional	Castilla y León	Total	Total	De 80 a 84 años	5.028
Total nacional	Castilla y León	Total	Total	De 85 a 89 años	8.551
Total nacional	Castilla y León	Total	Total	De 90 a 94 años	7.925
Total nacional	Castilla y León	Total	Total	95 y más años	4.533
Total nacional	Castilla y León	Total	Hombres	Total	18.404
Total nacional	Castilla y León	Total	Hombres	De 0 a 49 años	440
Total nacional	Castilla y León	Total	Hombres	De 50 a 54 años	372
Total nacional	Castilla y León	Total	Hombres	De 55 a 59 años	610
Total nacional	Castilla y León	Total	Hombres	De 60 a 64 años	845
Total nacional	Castilla y León	Total	Hombres	De 65 a 69 años	1.203
Total nacional	Castilla y León	Total	Hombres	De 70 a 74 años	1.562
Total nacional	Castilla y León	Total	Hombres	De 75 a 79 años	2.052
Total nacional	Castilla y León	Total	Hombres	De 80 a 84 años	2.849
Total nacional	Castilla y León	Total	Hombres	De 85 a 89 años	4.090
Total nacional	Castilla y León	Total	Hombres	De 90 a 94 años	3.055
Total nacional	Castilla y León	Total	Hombres	95 y más años	1.326
Total nacional	Castilla y León	Total	Mujeres	Total	18.118
Total nacional	Castilla y León	Total	Mujeres	De 0 a 49 años	256
Total nacional	Castilla y León	Total	Mujeres	De 50 a 54 años	177
Total nacional	Castilla y León	Total	Mujeres	De 55 a 59 años	255
Total nacional	Castilla y León	Total	Mujeres	De 60 a 64 años	395
Total nacional	Castilla y León	Total	Mujeres	De 65 a 69 años	455
Total nacional	Castilla y León	Total	Mujeres	De 70 a 74 años	712
Total nacional	Castilla y León	Total	Mujeres	De 75 a 79 años	1.151
Total nacional	Castilla y León	Total	Mujeres	De 80 a 84 años	2.179
Total nacional	Castilla y León	Total	Mujeres	De 85 a 89 años	4.461
Total nacional	Castilla y León	Total	Mujeres	De 90 a 94 años	4.870
Total nacional	Castilla y León	Total	Mujeres	95 y más años	3.207
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	Total	5.823
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 0 a 49 años	32
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 50 a 54 años	28
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 55 a 59 años	71
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 60 a 64 años	127
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 65 a 69 años	200
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 70 a 74 años	350
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 75 a 79 años	552
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 80 a 84 años	918
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 85 a 89 años	1.559
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	De 90 a 94 años	1.314
Total nacional	Castilla y León	Covid-19 Virus identificado	Total	95 y más años	672
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	Total	3.078
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 0 a 49 años	19
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 50 a 54 años	19
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 55 a 59 años	46
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 60 a 64 años	91
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 65 a 69 años	155
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 70 a 74 años	259
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 75 a 79 años	373
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 80 a 84 años	574
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 85 a 89 años	769
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	De 90 a 94 años	557
Total nacional	Castilla y León	Covid-19 Virus identificado	Hombres	95 y más años	216
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	Total	2.745
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	13
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	9
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	25
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	36
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	45
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	91
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	179
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	344
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	790
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	757
Total nacional	Castilla y León	Covid-19 Virus identificado	Mujeres	95 y más años	456
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	Total	1.889
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	8
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	11
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	13
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	19
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	50
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	76
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	137
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	250
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	497
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	529
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	299
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	841
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	3
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	6
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	9
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	12
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	34
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	54
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	88
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	131
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	227
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	182
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	95
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	1.048
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	5
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	5
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	4
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	7
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	16
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	22
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	49
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	119
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	270
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	347
Total nacional	Castilla y León	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	204
Total nacional	Castilla y León	Otras causas	Total	Total	28.810
Total nacional	Castilla y León	Otras causas	Total	De 0 a 49 años	656
Total nacional	Castilla y León	Otras causas	Total	De 50 a 54 años	510
Total nacional	Castilla y León	Otras causas	Total	De 55 a 59 años	781
Total nacional	Castilla y León	Otras causas	Total	De 60 a 64 años	1.094
Total nacional	Castilla y León	Otras causas	Total	De 65 a 69 años	1.408
Total nacional	Castilla y León	Otras causas	Total	De 70 a 74 años	1.848
Total nacional	Castilla y León	Otras causas	Total	De 75 a 79 años	2.514
Total nacional	Castilla y León	Otras causas	Total	De 80 a 84 años	3.860
Total nacional	Castilla y León	Otras causas	Total	De 85 a 89 años	6.495
